Kód,Název,Cena bez DPH,Cena s DPH,Poznamka
19196,ŠÍPKOVÝ ČISTÍCÍ OLEJ - 50 ml,337.19,408.00
11603,CITRONELA - 10 ml,73.55,89.00
11604,CITRONELA - 20 ml,124.79,151.00
11601,CITRONELA - vzorek 2 ml,45.45,55.00
11963,"EUKALYPTUS RADIATA, PSP - 10 ml",129.75,157.00
11964,"EUKALYPTUS RADIATA, PSP - 20 ml",239.67,290.00
11961,"EUKALYPTUS RADIATA, PSP - vzorek 2 ml",47.11,57.00
16451,VETIVER (Vetiveria zizanoides) - 2 ml,68.60,83.00
16452,VETIVER (Vetiveria zizanoides) - 5 ml,108.26,131.00
20764,OLEJ Z ŠÍPKOVÝCH JADER - 20 ml,198.35,240.00
20766,OLEJ Z ŠÍPKOVÝCH JADER - 50 ml,385.12,466.00
30012,TESTOVACÍ SADA PŘI ATOPICKÉM EKZÉMU,200.00,242.00
30013,LAMPA PRO ODPAŘOVÁNÍ PRYSKYŘIC,117.36,142.00
11943,EUKALYPTUS GLOBULUS - 10 ml,71.90,87.00
11944,EUKALYPTUS GLOBULUS - 20 ml,129.75,157.00
11946,EUKALYPTUS GLOBULUS - 50 ml,268.60,325.00
11941,EUKALYPTUS GLOBULUS - vzorek 2 ml,44.63,54.00
195922,"KARITÉ  - lisované za studena, PSP - 5 ml",57.85,70.00
195926,"KARITÉ  - lisované za studena, PSP - 50 ml",141.32,171.00
195927,"KARITÉ  - lisované za studena, PSP - 100 ml",252.07,305.00
195929,"KARITÉ  - lisované za studena, PSP - 500 ml",1 009.09,1 221.00
195920,"KARITÉ  - lisované za studena, PSP - 1000 ml",1 783.47,2 158.00
70040,SUCHÉ UBROUSKY PERLIČKA  velká (v igelitovém sáčku se zipem),57.02,69.00
19367,CITRUSOVÝ MYCÍ OLEJ - 100 ml,289.26,350.00
19368,CITRUSOVÝ MYCÍ OLEJ - 200 ml,501.65,607.00
1936,CITRUSOVÝ MYCÍ OLEJ - vzorek 13 ml,54.55,66.01
19337,GRAVITA - MYCÍ OLEJ - 100 ml,180.17,218.00
19338,GRAVITA - MYCÍ OLEJ - 200 ml,298.35,361.00
1933,GRAVITA - MYCÍ OLEJ - vzorek 13 ml,40.50,49.01
11152,BENZOE ABSOLUE 55% (v ethanolu) - 5 ml,115.70,140.00
11153,BENZOE ABSOLUE 55% (v ethanolu) - 10 ml,201.65,244.00
11151,BENZOE ABSOLUE 55% (v ethanolu) - vzorek 2 ml,61.98,75.00
19475,"NEROLI HYDROLÁT, PSP - 30 ml",108.26,131.00
